LOAN_ID,AMOUNT,DUE_MORTGAGE,VALUE,REASON,OCC,TJOB,DCL,CLT,CL_COUNT,RATIO,CONVICTED,VAR_1,VAR_2,VAR_3,DEFAULTER
3682648,15100,71168.0,97480.0,1.0,0.0,9.0,0.0,119.16666670000001,19.0,,0,0,1,2.0095,1
3682649,21100,81747.0,109840.0,1.0,0.0,,0.0,174.78616159999999,24.0,40.06752741,0,0,1,1.2724,0
3682650,15900,94262.0,128414.0,1.0,3.0,4.0,,242.73612590000002,42.0,39.23189168,1,0,2,1.4725,0
3682651,12900,110899.0,124480.0,1.0,2.0,7.0,0.0,204.9,40.0,,0,1,2,1.5701,1
3682652,24600,,35523.0,0.0,0.0,21.0,0.0,84.11198815,15.0,29.8656335,0,0,1,1.5013,0
3682653,15000,65742.0,86608.0,0.0,0.0,,0.0,289.58189100000004,20.0,28.28556284,0,0,0,1.5177,0
3682654,22800,75253.0,106166.0,1.0,0.0,,0.0,176.33937619999998,24.0,38.26659362,0,0,1,2.4322,0
3682655,23200,133766.0,174085.0,,3.0,26.0,3.0,333.40983989999995,28.0,30.77863769,0,0,0,0.8207399999999999,0
3682656,11900,117952.0,125305.0,1.0,5.0,5.0,0.0,182.1720651,18.0,33.21039733,0,0,0,2.2304,0
3682657,13700,55763.0,87480.0,1.0,4.0,9.0,0.0,194.7666667,20.0,,0,0,0,1.2435,0
3682658,7000,49831.0,66022.0,0.0,1.0,20.0,0.0,205.48458280000003,19.0,21.86549413,0,0,0,2.0532,0
3682659,34200,138422.0,196535.0,1.0,4.0,21.0,0.0,186.0054347,22.0,38.9060395,0,0,1,1.7078,0
3682660,9400,84799.0,105778.0,1.0,4.0,2.0,0.0,42.807204600000006,3.0,26.9666979,0,0,1,1.0473,1
3682661,15400,38964.0,54950.0,1.0,0.0,,0.0,74.75669023,15.0,41.83308472,0,0,0,1.3524,0
3682662,25800,103497.0,144574.0,1.0,3.0,19.0,0.0,218.94482799999997,13.0,41.14564938,0,0,0,1.2939,0
3682663,11500,66390.0,89533.0,1.0,,4.0,0.0,213.7832827,16.0,31.13013265,0,0,0,2.318,0
3682664,12100,84090.0,100634.0,0.0,4.0,0.0,0.0,80.67788538,20.0,33.78330326,0,0,1,2.5249,0
3682665,17400,51006.0,64115.0,0.0,1.0,4.0,0.0,116.002195,17.0,32.26108612,1,0,0,1.0804,0
3682666,22600,57661.0,95770.0,1.0,1.0,3.0,0.0,152.71506580000002,21.0,34.87359608,0,0,1,2.7361,0
3682667,10600,74713.0,98112.0,0.0,4.0,8.0,0.0,165.33089809999998,34.0,32.38514910000001,0,0,0,0.26382,0
3682668,25200,118458.0,150152.0,1.0,1.0,4.0,,280.19802139999996,37.0,42.99797946,1,0,1,1.1493,0
3682669,8600,49930.0,57256.0,1.0,1.0,0.0,0.0,172.2128147,21.0,35.16870257,0,0,0,1.6175,0
3682670,13800,64385.0,84739.0,1.0,1.0,4.0,3.0,183.18025649999998,29.0,37.08341346,0,2,3,1.0198,0
3682671,10600,64194.0,73574.0,1.0,,19.0,0.0,158.2465503,11.0,33.56631225,0,0,0,0.46997,0
3682672,7500,72638.0,91405.0,1.0,4.0,3.5,0.0,129.8333333,26.0,,0,0,0,0.9467399999999999,0
3682673,22600,40783.0,76875.0,1.0,4.0,8.0,0.0,271.2601967,18.0,39.96457279,1,0,0,1.8619,0
3682674,8500,57002.0,78059.0,1.0,0.0,0.0,0.0,57.30976479,21.0,23.53118826,0,0,8,1.734,0
3682675,15200,44599.0,76436.0,1.0,3.0,5.0,0.0,135.50434819999998,9.0,29.39399653,1,0,0,1.3525,0
3682676,18000,46241.0,68009.0,1.0,3.0,26.0,0.0,280.00708060000005,17.0,36.08297543,0,1,1,2.4826,0
3682677,22300,98523.0,140918.0,1.0,4.0,,0.0,208.2889332,20.0,29.22889542,0,0,0,1.1052,0
3682678,10100,59663.0,77850.0,1.0,2.0,7.0,0.0,137.9,35.0,,0,0,0,1.1584,0
